PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
Ankle,Child,High,Beginner,Toe Walks,Daily
Osteoporotic,Senior,Medium,Advanced,Weight Training,Daily
Shoulder,Teen,Medium,Advanced,Shoulder Rolls,Weekly
PCOS,Adult,High,Advanced,Cardio Exercises,Daily
Ankle,Teen,High,Intermediate,Toe Walks,Weekly
Osteoporotic,Teen,High,Advanced,Tai Chi,Daily
PCOS,Adult,Low,Intermediate,Cardio Exercises,Weekly
Elbow,Adult,High,Beginner,Tricep Dips,Daily
Knee,Adult,Low,Advanced,Leg Raises,Daily
Neck,Child,High,Intermediate,Neck Rotations,Bi-Weekly
PCOS,Teen,Medium,Intermediate,Cardio Exercises,Bi-Weekly
PCOS,Child,Medium,Advanced,Yoga,Weekly
Back,Senior,Medium,Intermediate,Deadlifts,Bi-Weekly
Knee,Senior,High,Advanced,Lunges,Weekly
Back,Senior,Low,Intermediate,Superman Exercise,Weekly
Knee,Adult,Medium,Beginner,Squats,Daily
Neck,Child,High,Beginner,Neck Rotations,Daily
Neck,Teen,High,Advanced,Shoulder Shrugs,Weekly
PCOS,Child,Medium,Advanced,Cardio Exercises,Bi-Weekly
Shoulder,Senior,Medium,Intermediate,Shoulder Rolls,Daily
Shoulder,Teen,Low,Beginner,Wall Push-ups,Weekly
Knee,Adult,Medium,Beginner,Lunges,Weekly
Back,Adult,Low,Intermediate,Superman Exercise,Bi-Weekly
Back,Adult,Low,Beginner,Cat-Cow Stretch,Daily
Elbow,Senior,High,Advanced,Wrist Flexor Stretch,Weekly
Knee,Senior,Medium,Advanced,Lunges,Bi-Weekly
Ankle,Senior,Low,Advanced,Calf Raises,Bi-Weekly
Osteoporotic,Senior,Medium,Beginner,Balance Exercises,Weekly
Ankle,Child,Low,Intermediate,Calf Raises,Weekly
Ankle,Teen,Medium,Advanced,Ankle Circles,Weekly
Shoulder,Adult,Low,Beginner,Shoulder Rolls,Bi-Weekly
Knee,Teen,Medium,Beginner,Leg Raises,Weekly
PCOS,Senior,Medium,Beginner,Yoga,Daily
Elbow,Teen,High,Intermediate,Wrist Flexor Stretch,Weekly
Knee,Teen,High,Intermediate,Lunges,Weekly
Ankle,Child,High,Intermediate,Ankle Circles,Daily
PCOS,Adult,High,Beginner,Cardio Exercises,Bi-Weekly
Knee,Adult,High,Beginner,Squats,Bi-Weekly
PCOS,Teen,Low,Intermediate,Strength Training,Daily
Knee,Child,High,Advanced,Squats,Bi-Weekly
Osteoporotic,Senior,Low,Intermediate,Weight Training,Daily
Osteoporotic,Teen,Low,Intermediate,Weight Training,Daily
Ankle,Child,Medium,Advanced,Calf Raises,Daily
PCOS,Senior,Low,Advanced,Cardio Exercises,Bi-Weekly
Knee,Adult,High,Intermediate,Lunges,Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Daily
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Bi-Weekly
Knee,Child,High,Advanced,Lunges,Bi-Weekly
Shoulder,Adult,High,Advanced,Wall Push-ups,Bi-Weekly
Osteoporotic,Child,High,Advanced,Tai Chi,Bi-Weekly
Elbow,Child,Low,Advanced,Tricep Dips,Daily
Ankle,Teen,Medium,Intermediate,Toe Walks,Daily
Neck,Child,Medium,Intermediate,Neck Rotations,Bi-Weekly
Shoulder,Senior,High,Beginner,Shoulder Rolls,Bi-Weekly
Back,Senior,Medium,Advanced,Superman Exercise,Daily
Elbow,Teen,High,Advanced,Wrist Flexor Stretch,Weekly
Neck,Teen,High,Intermediate,Neck Tilts,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Balance Exercises,Bi-Weekly
Shoulder,Child,Low,Beginner,Shoulder Rolls,Daily
Shoulder,Adult,High,Beginner,Wall Push-ups,Bi-Weekly
PCOS,Adult,High,Beginner,Cardio Exercises,Weekly
Ankle,Child,Low,Advanced,Calf Raises,Bi-Weekly
Neck,Adult,Medium,Beginner,Shoulder Shrugs,Bi-Weekly
Back,Adult,High,Advanced,Superman Exercise,Bi-Weekly
Shoulder,Child,Medium,Advanced,Wall Push-ups,Bi-Weekly
Shoulder,Adult,Medium,Beginner,Arm Circles,Daily
Shoulder,Adult,High,Beginner,Shoulder Rolls,Bi-Weekly
Back,Adult,Medium,Beginner,Superman Exercise,Bi-Weekly
Shoulder,Adult,High,Intermediate,Shoulder Rolls,Bi-Weekly
Neck,Senior,Medium,Beginner,Shoulder Shrugs,Bi-Weekly
Knee,Senior,High,Intermediate,Squats,Bi-Weekly
Knee,Senior,Low,Beginner,Lunges,Weekly
Ankle,Senior,Low,Beginner,Ankle Circles,Daily
Ankle,Child,High,Intermediate,Toe Walks,Weekly
Ankle,Adult,Medium,Intermediate,Calf Raises,Bi-Weekly
Osteoporotic,Senior,High,Intermediate,Balance Exercises,Daily
Knee,Teen,Low,Beginner,Leg Raises,Daily
Osteoporotic,Child,Medium,Beginner,Tai Chi,Weekly
Neck,Child,Medium,Advanced,Neck Rotations,Bi-Weekly
Elbow,Senior,Medium,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Ankle,Teen,Low,Beginner,Ankle Circles,Daily
Neck,Teen,High,Intermediate,Shoulder Shrugs,Weekly
Ankle,Child,High,Advanced,Calf Raises,Bi-Weekly
Ankle,Adult,High,Intermediate,Toe Walks,Daily
Elbow,Adult,High,Advanced,Tricep Dips,Daily
Back,Child,Medium,Beginner,Deadlifts,Weekly
Knee,Adult,Low,Advanced,Squats,Weekly
Back,Adult,Low,Advanced,Deadlifts,Bi-Weekly
Ankle,Adult,Medium,Advanced,Toe Walks,Bi-Weekly
Back,Child,Low,Beginner,Cat-Cow Stretch,Bi-Weekly
Osteoporotic,Child,Low,Advanced,Tai Chi,Daily
Ankle,Adult,High,Intermediate,Calf Raises,Daily
Neck,Senior,High,Intermediate,Neck Tilts,Daily
Ankle,Adult,High,Intermediate,Calf Raises,Weekly
Shoulder,Child,High,Advanced,Arm Circles,Weekly
Elbow,Teen,Medium,Intermediate,Resistance Band Curls,Daily
Shoulder,Teen,High,Intermediate,Arm Circles,Weekly
PCOS,Adult,High,Advanced,Yoga,Daily
Neck,Teen,Medium,Intermediate,Shoulder Shrugs,Weekly
Back,Senior,Medium,Intermediate,Deadlifts,Daily
PCOS,Child,High,Beginner,Yoga,Bi-Weekly
PCOS,Teen,Medium,Advanced,Cardio Exercises,Weekly
Ankle,Adult,Medium,Advanced,Ankle Circles,Daily
Ankle,Teen,Low,Advanced,Toe Walks,Bi-Weekly
PCOS,Adult,High,Intermediate,Yoga,Bi-Weekly
Ankle,Senior,Low,Intermediate,Ankle Circles,Weekly
PCOS,Child,High,Beginner,Strength Training,Weekly
Neck,Child,Low,Intermediate,Neck Tilts,Bi-Weekly
Shoulder,Adult,Medium,Beginner,Wall Push-ups,Bi-Weekly
Neck,Child,Low,Beginner,Shoulder Shrugs,Daily
PCOS,Senior,Low,Intermediate,Cardio Exercises,Bi-Weekly
Ankle,Child,High,Advanced,Calf Raises,Daily
Shoulder,Adult,Low,Beginner,Wall Push-ups,Daily
Neck,Teen,High,Beginner,Neck Rotations,Weekly
Ankle,Senior,High,Intermediate,Toe Walks,Bi-Weekly
Elbow,Senior,Low,Beginner,Resistance Band Curls,Bi-Weekly
Shoulder,Teen,High,Beginner,Shoulder Rolls,Weekly
Shoulder,Senior,Low,Beginner,Wall Push-ups,Weekly
Osteoporotic,Senior,Low,Beginner,Weight Training,Weekly
Back,Senior,High,Intermediate,Deadlifts,Bi-Weekly
PCOS,Child,High,Beginner,Cardio Exercises,Bi-Weekly
Osteoporotic,Senior,High,Intermediate,Tai Chi,Daily
Knee,Senior,Medium,Beginner,Squats,Weekly
Shoulder,Senior,Medium,Beginner,Wall Push-ups,Weekly
Osteoporotic,Senior,High,Intermediate,Tai Chi,Daily
Back,Child,High,Advanced,Deadlifts,Daily
Elbow,Senior,High,Intermediate,Tricep Dips,Weekly
Osteoporotic,Adult,Medium,Intermediate,Weight Training,Daily
Knee,Adult,Low,Advanced,Lunges,Weekly
Knee,Adult,Medium,Advanced,Lunges,Bi-Weekly
Knee,Child,Medium,Advanced,Leg Raises,Bi-Weekly
PCOS,Senior,High,Advanced,Cardio Exercises,Bi-Weekly
Back,Adult,Low,Intermediate,Deadlifts,Weekly
Osteoporotic,Teen,Medium,Beginner,Balance Exercises,Weekly
Ankle,Child,Low,Beginner,Toe Walks,Bi-Weekly
PCOS,Child,Low,Intermediate,Cardio Exercises,Daily
Ankle,Adult,Medium,Beginner,Toe Walks,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Daily
Ankle,Child,Low,Advanced,Ankle Circles,Daily
Knee,Child,Low,Beginner,Squats,Weekly
Ankle,Adult,Medium,Intermediate,Toe Walks,Bi-Weekly
Back,Senior,Medium,Intermediate,Superman Exercise,Daily
Ankle,Senior,Medium,Advanced,Ankle Circles,Daily
Knee,Teen,Low,Beginner,Squats,Daily
Ankle,Child,Medium,Beginner,Ankle Circles,Weekly
Back,Senior,High,Beginner,Superman Exercise,Daily
Elbow,Senior,Low,Beginner,Tricep Dips,Weekly
Shoulder,Adult,Low,Intermediate,Wall Push-ups,Daily
Back,Child,High,Advanced,Superman Exercise,Daily
Osteoporotic,Senior,Medium,Beginner,Weight Training,Weekly
Shoulder,Adult,High,Beginner,Wall Push-ups,Daily
Shoulder,Child,Low,Beginner,Shoulder Rolls,Bi-Weekly
Ankle,Senior,High,Beginner,Calf Raises,Weekly
Knee,Child,Medium,Beginner,Leg Raises,Daily
PCOS,Teen,Medium,Intermediate,Cardio Exercises,Weekly
Back,Senior,Low,Intermediate,Superman Exercise,Bi-Weekly
Shoulder,Child,Low,Beginner,Shoulder Rolls,Weekly
Knee,Adult,Medium,Advanced,Lunges,Bi-Weekly
Ankle,Teen,High,Beginner,Calf Raises,Bi-Weekly
Shoulder,Child,High,Beginner,Shoulder Rolls,Weekly
Neck,Adult,Low,Intermediate,Neck Rotations,Bi-Weekly
Back,Teen,Low,Advanced,Cat-Cow Stretch,Bi-Weekly
Ankle,Senior,Medium,Intermediate,Calf Raises,Daily
PCOS,Teen,High,Beginner,Cardio Exercises,Bi-Weekly
Knee,Child,Low,Advanced,Leg Raises,Bi-Weekly
Neck,Adult,High,Advanced,Neck Rotations,Weekly
Shoulder,Senior,Medium,Advanced,Wall Push-ups,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Tilts,Daily
Ankle,Teen,Low,Intermediate,Calf Raises,Daily
Ankle,Senior,Medium,Beginner,Ankle Circles,Daily
Knee,Adult,Medium,Beginner,Lunges,Daily
PCOS,Child,Medium,Beginner,Cardio Exercises,Daily
Knee,Senior,Medium,Advanced,Leg Raises,Weekly
Shoulder,Teen,High,Intermediate,Arm Circles,Bi-Weekly
Elbow,Adult,High,Advanced,Wrist Flexor Stretch,Weekly
Neck,Adult,Medium,Beginner,Shoulder Shrugs,Bi-Weekly
Back,Senior,Medium,Intermediate,Deadlifts,Daily
Knee,Senior,Low,Intermediate,Lunges,Daily
Back,Child,Low,Beginner,Superman Exercise,Daily
PCOS,Senior,Medium,Advanced,Strength Training,Daily
Neck,Adult,Low,Beginner,Shoulder Shrugs,Bi-Weekly
Back,Senior,Low,Advanced,Superman Exercise,Bi-Weekly
Ankle,Teen,High,Beginner,Calf Raises,Weekly
PCOS,Adult,Medium,Beginner,Yoga,Weekly
Back,Child,High,Beginner,Cat-Cow Stretch,Daily
Knee,Child,Low,Advanced,Leg Raises,Weekly
Ankle,Teen,Medium,Intermediate,Calf Raises,Daily
Back,Child,High,Intermediate,Deadlifts,Weekly
Shoulder,Child,Medium,Advanced,Arm Circles,Daily
Knee,Teen,High,Intermediate,Squats,Daily
Osteoporotic,Adult,Medium,Beginner,Balance Exercises,Daily
PCOS,Senior,Low,Advanced,Yoga,Daily
Back,Teen,Low,Intermediate,Superman Exercise,Daily
PCOS,Adult,High,Advanced,Yoga,Bi-Weekly
Neck,Teen,Low,Advanced,Neck Tilts,Daily
Osteoporotic,Child,Low,Advanced,Balance Exercises,Bi-Weekly
Osteoporotic,Child,Low,Advanced,Tai Chi,Weekly
Osteoporotic,Senior,High,Beginner,Tai Chi,Weekly
Neck,Teen,Low,Beginner,Neck Tilts,Weekly
Osteoporotic,Adult,Low,Beginner,Balance Exercises,Bi-Weekly
Elbow,Senior,High,Intermediate,Wrist Flexor Stretch,Weekly
Neck,Teen,Medium,Intermediate,Shoulder Shrugs,Bi-Weekly
Osteoporotic,Teen,High,Intermediate,Weight Training,Weekly
Osteoporotic,Adult,Low,Intermediate,Weight Training,Daily
Back,Child,Low,Beginner,Superman Exercise,Daily
Knee,Adult,Low,Advanced,Leg Raises,Bi-Weekly
Osteoporotic,Child,High,Advanced,Weight Training,Weekly
PCOS,Teen,High,Advanced,Cardio Exercises,Daily
Osteoporotic,Child,High,Intermediate,Tai Chi,Daily
Neck,Child,High,Advanced,Neck Tilts,Bi-Weekly
Shoulder,Child,Medium,Intermediate,Wall Push-ups,Weekly
PCOS,Teen,Low,Intermediate,Cardio Exercises,Daily
Ankle,Adult,Low,Beginner,Ankle Circles,Daily
Ankle,Child,High,Advanced,Toe Walks,Weekly
Neck,Child,Low,Beginner,Shoulder Shrugs,Bi-Weekly
Osteoporotic,Adult,Low,Intermediate,Tai Chi,Bi-Weekly
Shoulder,Adult,Medium,Beginner,Arm Circles,Weekly
Elbow,Senior,High,Advanced,Tricep Dips,Weekly
Ankle,Child,High,Intermediate,Ankle Circles,Daily
Knee,Senior,Medium,Advanced,Leg Raises,Daily
Ankle,Senior,Low,Advanced,Ankle Circles,Bi-Weekly
Shoulder,Senior,Low,Intermediate,Wall Push-ups,Daily
Knee,Teen,Low,Intermediate,Lunges,Daily
Osteoporotic,Teen,Medium,Advanced,Balance Exercises,Bi-Weekly
Back,Senior,Low,Advanced,Cat-Cow Stretch,Daily
Back,Senior,Low,Beginner,Superman Exercise,Daily
Neck,Senior,High,Advanced,Neck Tilts,Bi-Weekly
Osteoporotic,Senior,Medium,Intermediate,Weight Training,Daily
Osteoporotic,Senior,High,Advanced,Weight Training,Weekly
Ankle,Senior,Low,Beginner,Calf Raises,Daily
Back,Senior,Medium,Beginner,Superman Exercise,Weekly
Elbow,Adult,High,Beginner,Wrist Flexor Stretch,Daily
Knee,Teen,Low,Intermediate,Squats,Bi-Weekly
Neck,Teen,Medium,Intermediate,Neck Rotations,Daily
Shoulder,Senior,High,Advanced,Wall Push-ups,Weekly
Osteoporotic,Senior,High,Intermediate,Balance Exercises,Bi-Weekly
Osteoporotic,Teen,Medium,Advanced,Weight Training,Daily
Ankle,Senior,Low,Intermediate,Calf Raises,Bi-Weekly
Back,Adult,High,Beginner,Deadlifts,Weekly
Ankle,Teen,High,Advanced,Toe Walks,Bi-Weekly
Back,Senior,High,Advanced,Superman Exercise,Bi-Weekly
PCOS,Teen,Low,Advanced,Strength Training,Daily
Knee,Senior,High,Intermediate,Squats,Bi-Weekly
Knee,Adult,Low,Beginner,Squats,Daily
Neck,Adult,Medium,Advanced,Neck Tilts,Weekly
Back,Teen,High,Advanced,Cat-Cow Stretch,Bi-Weekly
Osteoporotic,Senior,High,Intermediate,Balance Exercises,Bi-Weekly
Back,Child,Medium,Beginner,Deadlifts,Bi-Weekly
Elbow,Teen,High,Advanced,Resistance Band Curls,Weekly
Neck,Teen,Medium,Advanced,Neck Tilts,Weekly
Back,Teen,High,Intermediate,Superman Exercise,Bi-Weekly
Elbow,Adult,Low,Intermediate,Wrist Flexor Stretch,Weekly
Neck,Child,Medium,Intermediate,Shoulder Shrugs,Weekly
Back,Adult,Medium,Intermediate,Deadlifts,Bi-Weekly
PCOS,Child,High,Advanced,Cardio Exercises,Weekly
Neck,Senior,High,Beginner,Neck Rotations,Weekly
Ankle,Adult,Low,Intermediate,Calf Raises,Daily
Neck,Child,High,Intermediate,Neck Rotations,Daily
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
Ankle,Adult,Medium,Intermediate,Calf Raises,Daily
Knee,Adult,Medium,Intermediate,Squats,Bi-Weekly
PCOS,Child,High,Intermediate,Strength Training,Daily
Neck,Senior,Medium,Advanced,Neck Rotations,Weekly
Osteoporotic,Teen,Medium,Beginner,Balance Exercises,Weekly
Elbow,Adult,Medium,Advanced,Wrist Flexor Stretch,Daily
PCOS,Teen,Low,Beginner,Cardio Exercises,Bi-Weekly
Osteoporotic,Adult,Medium,Advanced,Tai Chi,Bi-Weekly
Ankle,Teen,Medium,Beginner,Ankle Circles,Bi-Weekly
Back,Teen,Medium,Intermediate,Deadlifts,Bi-Weekly
Osteoporotic,Teen,High,Advanced,Balance Exercises,Weekly
Ankle,Child,Medium,Beginner,Calf Raises,Weekly
Elbow,Child,Low,Intermediate,Resistance Band Curls,Bi-Weekly
Ankle,Senior,Medium,Advanced,Toe Walks,Daily
PCOS,Senior,Medium,Beginner,Cardio Exercises,Bi-Weekly
Neck,Senior,Low,Beginner,Neck Tilts,Weekly
Osteoporotic,Teen,Low,Intermediate,Balance Exercises,Bi-Weekly
Shoulder,Senior,Medium,Advanced,Shoulder Rolls,Daily
Elbow,Teen,Medium,Beginner,Tricep Dips,Bi-Weekly
PCOS,Senior,Low,Beginner,Strength Training,Bi-Weekly
Osteoporotic,Adult,Medium,Advanced,Tai Chi,Daily
Elbow,Senior,High,Advanced,Tricep Dips,Daily
Osteoporotic,Adult,Medium,Beginner,Balance Exercises,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Weekly
Osteoporotic,Adult,Medium,Intermediate,Weight Training,Daily
Osteoporotic,Senior,High,Intermediate,Tai Chi,Weekly
Ankle,Child,High,Advanced,Toe Walks,Weekly
Back,Senior,Low,Intermediate,Superman Exercise,Weekly
Ankle,Teen,High,Intermediate,Toe Walks,Weekly
Osteoporotic,Adult,High,Beginner,Weight Training,Daily
Back,Senior,Low,Intermediate,Superman Exercise,Weekly
Back,Adult,High,Advanced,Cat-Cow Stretch,Weekly
Neck,Adult,High,Intermediate,Neck Tilts,Bi-Weekly
Ankle,Teen,Low,Beginner,Calf Raises,Weekly
Osteoporotic,Senior,High,Intermediate,Tai Chi,Bi-Weekly
Neck,Adult,Low,Beginner,Neck Tilts,Daily
Back,Senior,Low,Beginner,Deadlifts,Bi-Weekly
Neck,Child,Medium,Intermediate,Neck Tilts,Daily
Osteoporotic,Senior,Low,Advanced,Balance Exercises,Weekly
Elbow,Senior,Low,Intermediate,Tricep Dips,Bi-Weekly
PCOS,Child,Medium,Beginner,Strength Training,Bi-Weekly
Knee,Adult,Medium,Advanced,Leg Raises,Weekly
Elbow,Teen,Low,Advanced,Tricep Dips,Weekly
Knee,Adult,High,Intermediate,Squats,Daily
Ankle,Teen,High,Intermediate,Calf Raises,Daily
Knee,Teen,Low,Intermediate,Leg Raises,Bi-Weekly
Back,Teen,High,Advanced,Deadlifts,Daily
Knee,Senior,High,Beginner,Leg Raises,Bi-Weekly
PCOS,Adult,Medium,Advanced,Yoga,Weekly
Knee,Senior,High,Beginner,Lunges,Daily
Elbow,Senior,High,Intermediate,Tricep Dips,Weekly
Back,Adult,High,Advanced,Deadlifts,Bi-Weekly
Elbow,Adult,High,Advanced,Resistance Band Curls,Bi-Weekly
Ankle,Child,Low,Advanced,Calf Raises,Weekly
Elbow,Teen,Low,Intermediate,Resistance Band Curls,Weekly
Elbow,Senior,High,Advanced,Wrist Flexor Stretch,Weekly
Back,Senior,Medium,Advanced,Cat-Cow Stretch,Daily
Osteoporotic,Adult,Low,Intermediate,Tai Chi,Daily
Knee,Senior,Medium,Intermediate,Leg Raises,Weekly
Ankle,Teen,High,Advanced,Ankle Circles,Weekly
Knee,Senior,Low,Intermediate,Lunges,Weekly
Neck,Adult,Low,Advanced,Neck Tilts,Daily
Shoulder,Teen,Low,Intermediate,Wall Push-ups,Daily
Knee,Adult,Low,Beginner,Lunges,Bi-Weekly
Osteoporotic,Teen,High,Intermediate,Weight Training,Weekly
Back,Child,Low,Advanced,Superman Exercise,Weekly
Back,Child,Low,Intermediate,Superman Exercise,Bi-Weekly
Osteoporotic,Senior,Medium,Advanced,Balance Exercises,Weekly
Neck,Child,High,Advanced,Neck Rotations,Daily
Knee,Adult,High,Advanced,Leg Raises,Bi-Weekly
Elbow,Teen,Low,Advanced,Resistance Band Curls,Bi-Weekly
PCOS,Child,High,Beginner,Cardio Exercises,Weekly
PCOS,Child,High,Intermediate,Yoga,Weekly
Shoulder,Child,High,Intermediate,Arm Circles,Weekly
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Weekly
PCOS,Teen,Medium,Beginner,Yoga,Daily
Back,Adult,High,Beginner,Superman Exercise,Bi-Weekly
PCOS,Adult,High,Beginner,Strength Training,Bi-Weekly
Knee,Teen,Low,Advanced,Squats,Weekly
PCOS,Teen,Medium,Beginner,Yoga,Bi-Weekly
PCOS,Senior,High,Intermediate,Yoga,Daily
PCOS,Senior,High,Intermediate,Strength Training,Weekly
Elbow,Adult,Medium,Advanced,Resistance Band Curls,Weekly
PCOS,Senior,Medium,Intermediate,Strength Training,Bi-Weekly
Ankle,Teen,Low,Beginner,Calf Raises,Daily
PCOS,Adult,High,Beginner,Yoga,Weekly
Elbow,Teen,Medium,Advanced,Tricep Dips,Bi-Weekly
Knee,Child,Medium,Beginner,Leg Raises,Bi-Weekly
Shoulder,Teen,Medium,Advanced,Wall Push-ups,Weekly
Neck,Adult,Low,Intermediate,Shoulder Shrugs,Bi-Weekly
Back,Teen,Medium,Beginner,Cat-Cow Stretch,Weekly
Ankle,Teen,High,Beginner,Toe Walks,Weekly
Elbow,Senior,Low,Beginner,Resistance Band Curls,Weekly
Osteoporotic,Teen,Low,Advanced,Balance Exercises,Weekly
Shoulder,Child,Low,Advanced,Shoulder Rolls,Bi-Weekly
Back,Senior,Low,Intermediate,Cat-Cow Stretch,Weekly
Shoulder,Teen,High,Advanced,Shoulder Rolls,Daily
Shoulder,Adult,Medium,Advanced,Arm Circles,Daily
Ankle,Teen,High,Advanced,Toe Walks,Daily
Neck,Adult,Low,Intermediate,Shoulder Shrugs,Bi-Weekly
Elbow,Senior,High,Beginner,Wrist Flexor Stretch,Daily
PCOS,Senior,Low,Beginner,Yoga,Weekly
Knee,Child,Low,Intermediate,Leg Raises,Bi-Weekly
Neck,Child,Medium,Advanced,Shoulder Shrugs,Weekly
PCOS,Senior,Low,Intermediate,Strength Training,Weekly
Osteoporotic,Adult,Low,Beginner,Balance Exercises,Bi-Weekly
Ankle,Senior,Medium,Intermediate,Calf Raises,Weekly
Elbow,Adult,Low,Beginner,Resistance Band Curls,Bi-Weekly
Osteoporotic,Adult,Medium,Intermediate,Balance Exercises,Daily
Elbow,Adult,High,Beginner,Resistance Band Curls,Bi-Weekly
Knee,Adult,Low,Beginner,Lunges,Weekly
Neck,Senior,Medium,Intermediate,Neck Rotations,Weekly
Elbow,Child,Medium,Beginner,Tricep Dips,Weekly
Shoulder,Teen,Low,Beginner,Wall Push-ups,Weekly
Knee,Teen,Low,Beginner,Lunges,Weekly
Neck,Teen,Low,Advanced,Shoulder Shrugs,Bi-Weekly
Osteoporotic,Adult,High,Beginner,Tai Chi,Weekly
Back,Teen,Medium,Intermediate,Deadlifts,Bi-Weekly
Neck,Teen,High,Beginner,Shoulder Shrugs,Weekly
Neck,Child,Medium,Advanced,Neck Rotations,Bi-Weekly
Shoulder,Teen,Medium,Beginner,Wall Push-ups,Daily
Ankle,Adult,High,Intermediate,Calf Raises,Bi-Weekly
Knee,Teen,High,Beginner,Leg Raises,Daily
PCOS,Teen,High,Intermediate,Strength Training,Bi-Weekly
Back,Child,High,Beginner,Deadlifts,Daily
Elbow,Senior,Medium,Beginner,Resistance Band Curls,Bi-Weekly
Elbow,Teen,Low,Advanced,Tricep Dips,Daily
Elbow,Teen,Medium,Advanced,Tricep Dips,Bi-Weekly
Elbow,Teen,Low,Beginner,Wrist Flexor Stretch,Daily
Ankle,Adult,Medium,Intermediate,Calf Raises,Weekly
Ankle,Adult,High,Advanced,Toe Walks,Bi-Weekly
Neck,Senior,High,Intermediate,Neck Tilts,Daily
Knee,Child,Medium,Advanced,Squats,Bi-Weekly
Ankle,Senior,Low,Intermediate,Calf Raises,Weekly
Ankle,Child,Medium,Beginner,Toe Walks,Weekly
Back,Teen,High,Beginner,Cat-Cow Stretch,Weekly
Ankle,Child,Low,Intermediate,Ankle Circles,Bi-Weekly
Back,Senior,Medium,Beginner,Cat-Cow Stretch,Weekly
Osteoporotic,Adult,Low,Advanced,Tai Chi,Bi-Weekly
Osteoporotic,Adult,Low,Intermediate,Balance Exercises,Bi-Weekly
Knee,Teen,High,Intermediate,Squats,Daily
Neck,Child,Low,Intermediate,Neck Rotations,Weekly
Knee,Teen,High,Advanced,Lunges,Daily
Ankle,Senior,High,Intermediate,Ankle Circles,Weekly
Osteoporotic,Senior,High,Beginner,Balance Exercises,Weekly
Back,Adult,High,Intermediate,Deadlifts,Daily
Osteoporotic,Child,Low,Intermediate,Balance Exercises,Bi-Weekly
Neck,Child,Low,Beginner,Shoulder Shrugs,Weekly
Back,Adult,Medium,Advanced,Deadlifts,Daily
PCOS,Adult,Low,Beginner,Cardio Exercises,Daily
PCOS,Child,Medium,Beginner,Cardio Exercises,Daily
Back,Senior,Medium,Intermediate,Cat-Cow Stretch,Bi-Weekly
Elbow,Teen,Medium,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Back,Teen,Low,Beginner,Cat-Cow Stretch,Daily
Shoulder,Adult,Low,Intermediate,Wall Push-ups,Daily
Knee,Teen,Medium,Intermediate,Lunges,Bi-Weekly
Back,Senior,Medium,Intermediate,Superman Exercise,Weekly
Back,Child,Low,Beginner,Deadlifts,Weekly
PCOS,Adult,High,Beginner,Strength Training,Weekly
Shoulder,Senior,Medium,Intermediate,Shoulder Rolls,Daily
Neck,Senior,Medium,Beginner,Neck Tilts,Weekly
Neck,Adult,Low,Intermediate,Neck Tilts,Daily
Back,Adult,Low,Advanced,Deadlifts,Bi-Weekly
Shoulder,Adult,Medium,Beginner,Shoulder Rolls,Bi-Weekly
Ankle,Senior,Low,Beginner,Ankle Circles,Bi-Weekly
Knee,Child,Low,Intermediate,Leg Raises,Bi-Weekly
Knee,Teen,High,Beginner,Squats,Bi-Weekly
Ankle,Adult,Medium,Beginner,Ankle Circles,Daily
Elbow,Teen,High,Beginner,Resistance Band Curls,Bi-Weekly
PCOS,Child,Low,Intermediate,Cardio Exercises,Bi-Weekly
Elbow,Child,Low,Intermediate,Resistance Band Curls,Weekly
Osteoporotic,Teen,High,Beginner,Weight Training,Daily
Shoulder,Senior,High,Intermediate,Wall Push-ups,Daily
Osteoporotic,Teen,Medium,Beginner,Tai Chi,Daily
Ankle,Senior,High,Advanced,Toe Walks,Weekly
Ankle,Child,Low,Advanced,Ankle Circles,Daily
Knee,Child,Medium,Intermediate,Lunges,Bi-Weekly
Elbow,Senior,Low,Beginner,Tricep Dips,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Rotations,Weekly
Osteoporotic,Teen,High,Beginner,Balance Exercises,Weekly
Neck,Senior,High,Advanced,Neck Rotations,Bi-Weekly
Shoulder,Senior,Low,Advanced,Arm Circles,Bi-Weekly
Neck,Child,High,Intermediate,Neck Rotations,Daily
PCOS,Child,Low,Advanced,Yoga,Bi-Weekly
Ankle,Senior,High,Beginner,Ankle Circles,Bi-Weekly
Neck,Teen,High,Beginner,Neck Rotations,Weekly
Elbow,Teen,Low,Beginner,Tricep Dips,Weekly
Ankle,Adult,Low,Beginner,Ankle Circles,Bi-Weekly
Knee,Senior,Low,Advanced,Leg Raises,Bi-Weekly
Knee,Child,Medium,Intermediate,Squats,Daily
